AAU ndn-itec.aau.at
AFA 93-42-157-82.ip87.fastwebnet.it
ANYANG anyang.testbed.named-data.net
ARIZONA hobo.cs.arizona.edu
BASEL dmi-ndn-testbed1.dmi.unibas.ch
BERN os-float172.cnds.unibe.ch
BUPT bupt.testbed.named-data.net
BYU pasta10.cs.byu.edu
CAGLIARI lumiere.diee.unica.it
CAIDA click.caida.org
CNIC cnic.testbed.named-data.net
COPELABS copelabs.testbed.named-data.net
CORUNA ndn.gtec.udc.es
CSU ndn.netsec.colostate.edu
GOETTINGEN k.extra.informatik.uni-goettingen.de
INDONESIA indonesia.testbed.named-data.net
KISTI kisti.testbed.named-data.net
LIP6 ndnhub.ipv6.lip6.fr
MEMPHIS titan.cs.memphis.edu
MICHIGAN michigan.testbed.named-data.net
MINHO vnetlab.gcom.di.uminho.pt
MSU msu.testbed.named-data.net
MUMBAI_AWS mumbai.testbed.named-data.net
NEU neu.testbed.named-data.net
NIST nist.testbed.named-data.net
NTNU ndn.item.ntnu.no
OSAKA ndn.ist.osaka-u.ac.jp
PADUA ndnnode.math.unipd.it
PKUSZ pkusz.testbed.named-data.net
REMAP ndn-remap-p05.it.ucla.edu
SRRU comsci2.srru.ac.th
SYSTEMX systemx-ndn-1.enst.fr
TNO tno.testbed.named-data.net
TONGJI tongji.testbed.named-data.net
UASLP uaslp.testbed.named-data.net
UCI ndnhub.ics.uci.edu
UCLA spurs.cs.ucla.edu
UFPA ufpa.testbed.named-data.net
UIUC ndnx.cs.illinois.edu
URJC insula.gsyc.es
UUM uum.testbed.named-data.net
WASEDA ndn-tb.nz.comm.waseda.ac.jp
WU wundngw.arl.wustl.edu
